/usr/bin/java -Xmx64G -XX:MaxDirectMemorySize=64G -classpath /root/YCSB/conf:/root/YCSB/core/target/core-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/rocksdb-binding-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/dependency/HdrHistogram-2.1.4.jar:/root/YCSB/rocksdb/target/dependency/animal-sniffer-annotations-1.19.jar:/root/YCSB/rocksdb/target/dependency/annotations-4.1.1.4.jar:/root/YCSB/rocksdb/target/dependency/checker-compat-qual-2.5.5.jar:/root/YCSB/rocksdb/target/dependency/error_prone_annotations-2.4.0.jar:/root/YCSB/rocksdb/target/dependency/failureaccess-1.0.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-api-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-context-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-core-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-netty-shaded-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-lite-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-stub-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/gson-2.8.6.jar:/root/YCSB/rocksdb/target/dependency/guava-30.0-android.jar:/root/YCSB/rocksdb/target/dependency/htrace-core4-4.1.0-incubating.jar:/root/YCSB/rocksdb/target/dependency/j2objc-annotations-1.3.jar:/root/YCSB/rocksdb/target/dependency/jcip-annotations-1.0.jar:/root/YCSB/rocksdb/target/dependency/jsr305-3.0.2.jar:/root/YCSB/rocksdb/target/dependency/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar:/root/YCSB/rocksdb/target/dependency/perfmark-api-0.23.0.jar:/root/YCSB/rocksdb/target/dependency/proto-google-common-protos-2.0.1.jar:/root/YCSB/rocksdb/target/dependency/protobuf-java-3.12.0.jar:/root/YCSB/rocksdb/target/dependency/rocksdbjni-6.14.0.jar:/root/YCSB/rocksdb/target/dependency/slf4j-api-1.7.25.jar:/root/YCSB/rocksdb/target/dependency/slf4j-simple-1.7.25.jar site.ycsb.Client -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadc -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=3 -p status.interval=1000 -p target=120000 -threads 1
Command line: -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadc -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=3 -p status.interval=1000 -p target=120000 -threads 1
threadcount: 1
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
[Thread-2] INFO site.ycsb.db.rocksdb.RocksDBClient - RocksDB data dir: null
2025-08-10 22:44:31:926 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2025-08-10 22:44:32:903 1 sec: 256 operations; 256 current ops/sec; est completion in 3 hours 15 minutes [INSERT: Count=256, Max=260223, Min=1070, Avg=2497.01, 90=1937, 99=4115, 99.9=260223, 99.99=260223] 
2025-08-10 22:44:33:903 2 sec: 1248 operations; 992 current ops/sec; est completion in 1 hour 20 minutes [INSERT: Count=992, Max=1763, Min=875, Avg=990.85, 90=1058, 99=1217, 99.9=1663, 99.99=1763] 
2025-08-10 22:44:34:903 3 sec: 2300 operations; 1052 current ops/sec; est completion in 1 hour 5 minutes [INSERT: Count=1052, Max=1268, Min=853, Avg=940.51, 90=984, 99=1017, 99.9=1096, 99.99=1268] 
2025-08-10 22:44:35:903 4 sec: 3363 operations; 1063 current ops/sec; est completion in 59 minutes [INSERT: Count=1063, Max=2045, Min=820, Avg=931.83, 90=972, 99=1030, 99.9=1367, 99.99=2045] 
2025-08-10 22:44:36:903 5 sec: 4437 operations; 1074 current ops/sec; est completion in 56 minutes [INSERT: Count=1074, Max=1657, Min=800, Avg=924.57, 90=968, 99=1020, 99.9=1593, 99.99=1657] 
2025-08-10 22:44:37:903 6 sec: 5499 operations; 1062 current ops/sec; est completion in 54 minutes [INSERT: Count=1062, Max=4051, Min=812, Avg=932.21, 90=970, 99=1010, 99.9=1107, 99.99=4051] 
2025-08-10 22:44:38:903 7 sec: 6565 operations; 1066 current ops/sec; est completion in 53 minutes [INSERT: Count=1067, Max=1139, Min=834, Avg=929.28, 90=969, 99=1017, 99.9=1101, 99.99=1139] 
2025-08-10 22:44:39:903 8 sec: 7632 operations; 1067 current ops/sec; est completion in 52 minutes [INSERT: Count=1067, Max=2195, Min=786, Avg=929.85, 90=974, 99=1031, 99.9=1941, 99.99=2195] 
2025-08-10 22:44:40:903 9 sec: 8691 operations; 1059 current ops/sec; est completion in 51 minutes [INSERT: Count=1058, Max=3971, Min=806, Avg=933.14, 90=971, 99=1013, 99.9=2869, 99.99=3971] 
2025-08-10 22:44:41:903 10 sec: 9738 operations; 1047 current ops/sec; est completion in 51 minutes [INSERT: Count=1047, Max=3309, Min=777, Avg=934.3, 90=970, 99=1011, 99.9=1113, 99.99=3309] 
2025-08-10 22:44:42:903 11 sec: 10799 operations; 1061 current ops/sec; est completion in 50 minutes [INSERT: Count=1061, Max=1040, Min=766, Avg=926.85, 90=966, 99=1005, 99.9=1036, 99.99=1040] 
2025-08-10 22:44:43:903 12 sec: 11856 operations; 1057 current ops/sec; est completion in 50 minutes [INSERT: Count=1057, Max=1044, Min=803, Avg=927.2, 90=967, 99=996, 99.9=1031, 99.99=1044] 
2025-08-10 22:44:44:903 13 sec: 12912 operations; 1056 current ops/sec; est completion in 50 minutes [INSERT: Count=1056, Max=1031, Min=801, Avg=926.57, 90=964, 99=995, 99.9=1026, 99.99=1031] 
2025-08-10 22:44:45:903 14 sec: 13982 operations; 1070 current ops/sec; est completion in 49 minutes [INSERT: Count=1071, Max=1061, Min=799, Avg=921.29, 90=963, 99=1000, 99.9=1041, 99.99=1061] 
2025-08-10 22:44:46:903 15 sec: 15049 operations; 1067 current ops/sec; est completion in 49 minutes [INSERT: Count=1066, Max=2153, Min=766, Avg=921.1, 90=959, 99=999, 99.9=1057, 99.99=2153] 
2025-08-10 22:44:47:903 16 sec: 16139 operations; 1090 current ops/sec; est completion in 49 minutes [INSERT: Count=1091, Max=1079, Min=780, Avg=907.58, 90=946, 99=990, 99.9=1038, 99.99=1079] 
2025-08-10 22:44:48:903 17 sec: 17227 operations; 1088 current ops/sec; est completion in 49 minutes [INSERT: Count=1087, Max=3443, Min=734, Avg=911.25, 90=949, 99=1006, 99.9=1157, 99.99=3443] 
2025-08-10 22:44:49:903 18 sec: 18320 operations; 1093 current ops/sec; est completion in 48 minutes [INSERT: Count=1093, Max=1069, Min=796, Avg=906.8, 90=946, 99=982, 99.9=1024, 99.99=1069] 
2025-08-10 22:44:50:903 19 sec: 19411 operations; 1091 current ops/sec; est completion in 48 minutes [INSERT: Count=1091, Max=1034, Min=828, Avg=908.99, 90=945, 99=981, 99.9=1026, 99.99=1034] 
2025-08-10 22:44:51:903 20 sec: 20501 operations; 1090 current ops/sec; est completion in 48 minutes [INSERT: Count=1090, Max=1045, Min=781, Avg=908.35, 90=947, 99=996, 99.9=1025, 99.99=1045] 
2025-08-10 22:44:52:903 21 sec: 21584 operations; 1083 current ops/sec; est completion in 48 minutes [INSERT: Count=1083, Max=1920, Min=789, Avg=914.94, 90=957, 99=1014, 99.9=1890, 99.99=1920] 
2025-08-10 22:44:53:905 22 sec: 22652 operations; 1068 current ops/sec; est completion in 48 minutes [INSERT: Count=1069, Max=1382, Min=827, Avg=921.5, 90=960, 99=1015, 99.9=1149, 99.99=1382] 
2025-08-10 22:44:54:903 23 sec: 23744 operations; 1092 current ops/sec; est completion in 48 minutes [INSERT: Count=1091, Max=1056, Min=778, Avg=908.85, 90=947, 99=986, 99.9=1051, 99.99=1056] 
2025-08-10 22:44:55:903 24 sec: 24828 operations; 1084 current ops/sec; est completion in 47 minutes [INSERT: Count=1084, Max=1234, Min=811, Avg=912.97, 90=953, 99=1010, 99.9=1076, 99.99=1234] 
2025-08-10 22:44:56:903 25 sec: 25913 operations; 1085 current ops/sec; est completion in 47 minutes [INSERT: Count=1085, Max=2211, Min=756, Avg=911.96, 90=948, 99=990, 99.9=1032, 99.99=2211] 
2025-08-10 22:44:57:903 26 sec: 26993 operations; 1080 current ops/sec; est completion in 47 minutes [INSERT: Count=1080, Max=1228, Min=809, Avg=914.53, 90=953, 99=995, 99.9=1063, 99.99=1228] 
