/usr/bin/java -Xmx64G -XX:MaxDirectMemorySize=64G -classpath /root/YCSB/conf:/root/YCSB/core/target/core-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/rocksdb-binding-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/dependency/HdrHistogram-2.1.4.jar:/root/YCSB/rocksdb/target/dependency/animal-sniffer-annotations-1.19.jar:/root/YCSB/rocksdb/target/dependency/annotations-4.1.1.4.jar:/root/YCSB/rocksdb/target/dependency/checker-compat-qual-2.5.5.jar:/root/YCSB/rocksdb/target/dependency/error_prone_annotations-2.4.0.jar:/root/YCSB/rocksdb/target/dependency/failureaccess-1.0.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-api-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-context-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-core-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-netty-shaded-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-lite-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-stub-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/gson-2.8.6.jar:/root/YCSB/rocksdb/target/dependency/guava-30.0-android.jar:/root/YCSB/rocksdb/target/dependency/htrace-core4-4.1.0-incubating.jar:/root/YCSB/rocksdb/target/dependency/j2objc-annotations-1.3.jar:/root/YCSB/rocksdb/target/dependency/jcip-annotations-1.0.jar:/root/YCSB/rocksdb/target/dependency/jsr305-3.0.2.jar:/root/YCSB/rocksdb/target/dependency/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar:/root/YCSB/rocksdb/target/dependency/perfmark-api-0.23.0.jar:/root/YCSB/rocksdb/target/dependency/proto-google-common-protos-2.0.1.jar:/root/YCSB/rocksdb/target/dependency/protobuf-java-3.12.0.jar:/root/YCSB/rocksdb/target/dependency/rocksdbjni-6.14.0.jar:/root/YCSB/rocksdb/target/dependency/slf4j-api-1.7.25.jar:/root/YCSB/rocksdb/target/dependency/slf4j-simple-1.7.25.jar site.ycsb.Client -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadc -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=3 -p status.interval=10000 -p target=120000 -threads 32
Command line: -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadc -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=3 -p status.interval=10000 -p target=120000 -threads 32
threadcount: 32
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
[Thread-2] INFO site.ycsb.db.rocksdb.RocksDBClient - RocksDB data dir: null
2025-08-17 12:39:07:724 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2025-08-17 12:39:17:699 10 sec: 149179 operations; 14916.41 current ops/sec; est completion in 1 hour 51 minutes [INSERT: Count=149205, Max=428799, Min=655, Avg=2050.3, 90=2681, 99=3643, 99.9=15007, 99.99=428799] 
2025-08-17 12:39:27:699 20 sec: 326378 operations; 17719.9 current ops/sec; est completion in 1 hour 41 minutes [INSERT: Count=177175, Max=15239, Min=588, Avg=1788.69, 90=2475, 99=3311, 99.9=6059, 99.99=10639] 
2025-08-17 12:39:37:699 30 sec: 507772 operations; 18139.4 current ops/sec; est completion in 1 hour 37 minutes [INSERT: Count=181396, Max=9879, Min=604, Avg=1756.28, 90=2441, 99=3283, 99.9=5867, 99.99=9087] 
2025-08-17 12:39:47:702 40 sec: 689553 operations; 18178.1 current ops/sec; est completion in 1 hour 36 minutes [INSERT: Count=181801, Max=9863, Min=551, Avg=1753.28, 90=2433, 99=3211, 99.9=4263, 99.99=8191] 
2025-08-17 12:39:57:699 50 sec: 862088 operations; 17253.5 current ops/sec; est completion in 1 hour 35 minutes [INSERT: Count=172512, Max=10519, Min=500, Avg=1848.44, 90=2531, 99=3283, 99.9=4911, 99.99=8103] 
2025-08-17 12:40:07:699 60 sec: 1041855 operations; 17976.7 current ops/sec; est completion in 1 hour 35 minutes [INSERT: Count=179770, Max=8519, Min=592, Avg=1774.66, 90=2461, 99=3241, 99.9=4587, 99.99=7563] 
2025-08-17 12:40:17:699 70 sec: 1217931 operations; 17607.6 current ops/sec; est completion in 1 hour 34 minutes [INSERT: Count=176074, Max=15783, Min=576, Avg=1810.52, 90=2497, 99=3283, 99.9=5375, 99.99=13023] 
2025-08-17 12:40:27:699 80 sec: 1392201 operations; 17427 current ops/sec; est completion in 1 hour 34 minutes [INSERT: Count=174275, Max=8223, Min=598, Avg=1830.55, 90=2521, 99=3279, 99.9=4395, 99.99=6927] 
2025-08-17 12:40:37:700 90 sec: 1560424 operations; 16822.3 current ops/sec; est completion in 1 hour 34 minutes [INSERT: Count=168225, Max=7799, Min=572, Avg=1896.63, 90=2595, 99=3341, 99.9=4447, 99.99=6787] 
2025-08-17 12:40:47:699 100 sec: 1742449 operations; 18202.5 current ops/sec; est completion in 1 hour 34 minutes [INSERT: Count=182018, Max=9031, Min=574, Avg=1751.53, 90=2429, 99=3169, 99.9=4339, 99.99=7555] 
2025-08-17 12:40:57:699 110 sec: 1919361 operations; 17691.2 current ops/sec; est completion in 1 hour 33 minutes [INSERT: Count=176911, Max=9215, Min=553, Avg=1803.49, 90=2491, 99=3249, 99.9=4379, 99.99=7443] 
2025-08-17 12:41:07:699 120 sec: 2086011 operations; 16665 current ops/sec; est completion in 1 hour 33 minutes [INSERT: Count=166655, Max=28799, Min=560, Avg=1913.49, 90=2587, 99=3345, 99.9=5755, 99.99=23135] 
2025-08-17 12:41:17:699 130 sec: 2267186 operations; 18117.5 current ops/sec; est completion in 1 hour 33 minutes [INSERT: Count=181173, Max=8559, Min=532, Avg=1760.66, 90=2443, 99=3207, 99.9=4295, 99.99=7143] 
2025-08-17 12:41:27:699 140 sec: 2437456 operations; 17027 current ops/sec; est completion in 1 hour 33 minutes [INSERT: Count=170268, Max=9047, Min=596, Avg=1874.07, 90=2555, 99=3295, 99.9=4339, 99.99=7731] 
